
910643-Dep. Leur Lomanto Júnior-08- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
910643-Dep. Leur Lomanto Júnior-08- 2009- Divulgação da  atividade parlamentar- 500
910643-Dep. Leur Lomanto Júnior-08- 2009- Locomoção, hospedagem- 388.17
910643-Dep. Leur Lomanto Júnior-09- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-09- 2009- Divulgação da  atividade parlamentar- 2166.67
910643-Dep. Leur Lomanto Júnior-10- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 269.54
910643-Dep. Leur Lomanto Júnior-10- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
910643-Dep. Leur Lomanto Júnior-10- 2009- Divulgação da  atividade parlamentar- 500
910643-Dep. Leur Lomanto Júnior-10- 2009- Locomoção, hospedagem- 459
910643-Dep. Leur Lomanto Júnior-11- 2009- Divulgação da  atividade parlamentar- 13500
910643-Dep. Leur Lomanto Júnior-12- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 350.14
910643-Dep. Leur Lomanto Júnior-12- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 399.93
910643-Dep. Leur Lomanto Júnior-12- 2009- Divulgação da  atividade parlamentar- 13500
910643-Dep. Leur Lomanto Júnior-01- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-01- 2010- Divulgação da  atividade parlamentar- 15500
910643-Dep. Leur Lomanto Júnior-02- 2010- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1044.82
910643-Dep. Leur Lomanto Júnior-02- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-02- 2010- Divulgação da  atividade parlamentar- 500
910643-Dep. Leur Lomanto Júnior-02- 2010- Locomoção, hospedagem- 313.1
910643-Dep. Leur Lomanto Júnior-03- 2010- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 258.03
910643-Dep. Leur Lomanto Júnior-03- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-03- 2010- Divulgação da  atividade parlamentar- 10500
910643-Dep. Leur Lomanto Júnior-03- 2010- Locomoção, hospedagem- 1020
910643-Dep. Leur Lomanto Júnior-04- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-04- 2010- Divulgação da  atividade parlamentar- 500
910643-Dep. Leur Lomanto Júnior-05- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-05- 2010- Divulgação da  atividade parlamentar- 20900
910643-Dep. Leur Lomanto Júnior-05- 2010- Locomoção, hospedagem- 2175.4
910643-Dep. Leur Lomanto Júnior-06- 2010- Divulgação da  atividade parlamentar- 9128
910643-Dep. Leur Lomanto Júnior-06- 2010- Locomoção, hospedagem- 15142.42
910643-Dep. Leur Lomanto Júnior-07- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-07- 2010- Locomoção, hospedagem- 1444.5
910643-Dep. Leur Lomanto Júnior-08- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-08- 2010- Locomoção, hospedagem- 2241.95
910643-Dep. Leur Lomanto Júnior-09- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13000
910643-Dep. Leur Lomanto Júnior-09- 2010- Locomoção, hospedagem- 2277.75
910643-Dep. Leur Lomanto Júnior-10- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-10- 2010- Locomoção, hospedagem- 155.58
910643-Dep. Leur Lomanto Júnior-11- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-12- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-12- 2010- Divulgação da  atividade parlamentar- 22680
