
903706-Dep. Nelson Leal-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 41600
903706-Dep. Nelson Leal-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
903706-Dep. Nelson Leal-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
903706-Dep. Nelson Leal-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33400
903706-Dep. Nelson Leal-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33200
903706-Dep. Nelson Leal-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37500
903706-Dep. Nelson Leal-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 41300
903706-Dep. Nelson Leal-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34200
903706-Dep. Nelson Leal-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33200
903706-Dep. Nelson Leal-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33700
903706-Dep. Nelson Leal-05- 2015- Divulgação da  atividade parlamentar- 14000
903706-Dep. Nelson Leal-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24600
903706-Dep. Nelson Leal-06- 2015- Divulgação da  atividade parlamentar- 12250
903706-Dep. Nelson Leal-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29600
903706-Dep. Nelson Leal-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29700
903706-Dep. Nelson Leal-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
903706-Dep. Nelson Leal-09- 2015- Divulgação da  atividade parlamentar- 19800
903706-Dep. Nelson Leal-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32200
903706-Dep. Nelson Leal-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-11- 2015- Divulgação da  atividade parlamentar- 12600
903706-Dep. Nelson Leal-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32700
903706-Dep. Nelson Leal-12- 2015- Divulgação da  atividade parlamentar- 6300
903706-Dep. Nelson Leal-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32200
903706-Dep. Nelson Leal-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34500
903706-Dep. Nelson Leal-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30400
903706-Dep. Nelson Leal-03- 2016- Divulgação da  atividade parlamentar- 14600
903706-Dep. Nelson Leal-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30400
903706-Dep. Nelson Leal-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34500
903706-Dep. Nelson Leal-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33900
903706-Dep. Nelson Leal-06- 2016- Divulgação da  atividade parlamentar- 21600
903706-Dep. Nelson Leal-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33600
903706-Dep. Nelson Leal-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32900
903706-Dep. Nelson Leal-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33600
903706-Dep. Nelson Leal-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33400
903706-Dep. Nelson Leal-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33800
903706-Dep. Nelson Leal-11- 2016- Divulgação da  atividade parlamentar- 20500
903706-Dep. Nelson Leal-12- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30700
903706-Dep. Nelson Leal-12- 2016- Divulgação da  atividade parlamentar- 9750
903706-Dep. Nelson Leal-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31900
903706-Dep. Nelson Leal-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-03- 2017- Divulgação da  atividade parlamentar- 19800
903706-Dep. Nelson Leal-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
903706-Dep. Nelson Leal-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31800
903706-Dep. Nelson Leal-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33200
903706-Dep. Nelson Leal-06- 2017- Divulgação da  atividade parlamentar- 18800
903706-Dep. Nelson Leal-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33700
903706-Dep. Nelson Leal-09- 2017- Divulgação da  atividade parlamentar- 11500
903706-Dep. Nelson Leal-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33500
903706-Dep. Nelson Leal-10- 2017- Divulgação da  atividade parlamentar- 9750
903706-Dep. Nelson Leal-11- 2017- Consultorias- 9750
903706-Dep. Nelson Leal-11- 2017- Divulgação da  atividade parlamentar- 22500
903706-Dep. Nelson Leal-12- 2017- Assessorias- 9750
903706-Dep. Nelson Leal-12- 2017- Consultorias- 9750
903706-Dep. Nelson Leal-12- 2017- Divulgação da  atividade parlamentar- 23100
