
915869-Dep. Zé Raimundo-04- 2012- Divulgação da  atividade parlamentar- 16700
915869-Dep. Zé Raimundo-05- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3093.56
915869-Dep. Zé Raimundo-05- 2012- Aquisição de material de expediente- 1105.73
915869-Dep. Zé Raimundo-05- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1093.98
915869-Dep. Zé Raimundo-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-05- 2012- Divulgação da  atividade parlamentar- 19700
915869-Dep. Zé Raimundo-06- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2500
915869-Dep. Zé Raimundo-06- 2012- Aquisição de material de expediente- 327.64
915869-Dep. Zé Raimundo-06- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 5968.69
915869-Dep. Zé Raimundo-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-06- 2012- Divulgação da  atividade parlamentar- 15200
915869-Dep. Zé Raimundo-07- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2915.27
915869-Dep. Zé Raimundo-07- 2012- Aquisição de material de expediente- 1549.17
915869-Dep. Zé Raimundo-07- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6009.1
915869-Dep. Zé Raimundo-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-07- 2012- Divulgação da  atividade parlamentar- 6200
915869-Dep. Zé Raimundo-07- 2012- Locomoção, hospedagem- 100
915869-Dep. Zé Raimundo-08- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2813.79
915869-Dep. Zé Raimundo-08- 2012- Aquisição de material de expediente- 398.45
915869-Dep. Zé Raimundo-08- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 5822.24
915869-Dep. Zé Raimundo-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-08- 2012- Divulgação da  atividade parlamentar- 17950
915869-Dep. Zé Raimundo-09- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2592.07
915869-Dep. Zé Raimundo-09- 2012- Aquisição de material de expediente- 416.74
915869-Dep. Zé Raimundo-09- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6416.33
915869-Dep. Zé Raimundo-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5097.99
915869-Dep. Zé Raimundo-09- 2012- Divulgação da  atividade parlamentar- 12950
915869-Dep. Zé Raimundo-10- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3317.14
915869-Dep. Zé Raimundo-10- 2012- Aquisição de material de expediente- 178.79
915869-Dep. Zé Raimundo-10- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6384.58
915869-Dep. Zé Raimundo-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-10- 2012- Divulgação da  atividade parlamentar- 11700
915869-Dep. Zé Raimundo-11- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 463.57
915869-Dep. Zé Raimundo-11- 2012- Aquisição de material de expediente- 1323.93
915869-Dep. Zé Raimundo-11- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1651.45
915869-Dep. Zé Raimundo-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-11- 2012- Divulgação da  atividade parlamentar- 16200
