
915860-Dep. Adolfo Viana-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-09- 2012- Divulgação da  atividade parlamentar- 5500
915860-Dep. Adolfo Viana-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23000
915860-Dep. Adolfo Viana-10- 2012- Locomoção, hospedagem- 25500
915860-Dep. Adolfo Viana-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-11- 2012- Locomoção, hospedagem- 3985
915860-Dep. Adolfo Viana-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-03- 2013- Divulgação da  atividade parlamentar- 15000
915860-Dep. Adolfo Viana-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-04- 2013- Divulgação da  atividade parlamentar- 8000
915860-Dep. Adolfo Viana-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-06- 2013- Divulgação da  atividade parlamentar- 8000
915860-Dep. Adolfo Viana-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915860-Dep. Adolfo Viana-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 45000
915860-Dep. Adolfo Viana-11- 2013- Divulgação da  atividade parlamentar- 8000
915860-Dep. Adolfo Viana-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-12- 2013- Divulgação da  atividade parlamentar- 11330
915860-Dep. Adolfo Viana-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 35000
915860-Dep. Adolfo Viana-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 50000
915860-Dep. Adolfo Viana-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-04- 2014- Divulgação da  atividade parlamentar- 12000
915860-Dep. Adolfo Viana-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 35000
915860-Dep. Adolfo Viana-05- 2014- Locomoção, hospedagem- 12500
915860-Dep. Adolfo Viana-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915860-Dep. Adolfo Viana-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 40000
915860-Dep. Adolfo Viana-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-12- 2014- Divulgação da  atividade parlamentar- 80100
915860-Dep. Adolfo Viana-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-06- 2015- Divulgação da  atividade parlamentar- 49500
915860-Dep. Adolfo Viana-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-11- 2015- Locomoção, hospedagem- 1050
915860-Dep. Adolfo Viana-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915860-Dep. Adolfo Viana-03- 2016- Divulgação da  atividade parlamentar- 2000
915860-Dep. Adolfo Viana-04- 2016- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-04- 2016- Locomoção, hospedagem- 7000
915860-Dep. Adolfo Viana-05- 2016- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-05- 2016- Locomoção, hospedagem- 7000
915860-Dep. Adolfo Viana-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915860-Dep. Adolfo Viana-06- 2016- Locomoção, hospedagem- 30500
915860-Dep. Adolfo Viana-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6600
915860-Dep. Adolfo Viana-07- 2016- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-07- 2016- Locomoção, hospedagem- 7000
915860-Dep. Adolfo Viana-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915860-Dep. Adolfo Viana-08- 2016- Locomoção, hospedagem- 24250
915860-Dep. Adolfo Viana-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10500
915860-Dep. Adolfo Viana-09- 2016- Locomoção, hospedagem- 16000
915860-Dep. Adolfo Viana-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7000
915860-Dep. Adolfo Viana-10- 2016- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-10- 2016- Locomoção, hospedagem- 17300
915860-Dep. Adolfo Viana-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
915860-Dep. Adolfo Viana-11- 2016- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-11- 2016- Locomoção, hospedagem- 8650
915860-Dep. Adolfo Viana-12- 2016- Divulgação da  atividade parlamentar- 73300
915860-Dep. Adolfo Viana-12- 2016- Locomoção, hospedagem- 8650
915860-Dep. Adolfo Viana-01- 2017- Divulgação da  atividade parlamentar- 4300
915860-Dep. Adolfo Viana-01- 2017- Locomoção, hospedagem- 8650
915860-Dep. Adolfo Viana-02- 2017- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-02- 2017- Locomoção, hospedagem- 1650
915860-Dep. Adolfo Viana-03- 2017- Divulgação da  atividade parlamentar- 4000
915860-Dep. Adolfo Viana-03- 2017- Locomoção, hospedagem- 17300
915860-Dep. Adolfo Viana-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
915860-Dep. Adolfo Viana-04- 2017- Locomoção, hospedagem- 23300
915860-Dep. Adolfo Viana-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915860-Dep. Adolfo Viana-05- 2017- Divulgação da  atividade parlamentar- 15300
915860-Dep. Adolfo Viana-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13650
915860-Dep. Adolfo Viana-06- 2017- Locomoção, hospedagem- 29600
915860-Dep. Adolfo Viana-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915860-Dep. Adolfo Viana-07- 2017- Divulgação da  atividade parlamentar- 7650
915860-Dep. Adolfo Viana-07- 2017- Locomoção, hospedagem- 19300
915860-Dep. Adolfo Viana-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915860-Dep. Adolfo Viana-08- 2017- Divulgação da  atividade parlamentar- 7650
915860-Dep. Adolfo Viana-08- 2017- Locomoção, hospedagem- 40300
915860-Dep. Adolfo Viana-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915860-Dep. Adolfo Viana-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13650
915860-Dep. Adolfo Viana-10- 2017- Divulgação da  atividade parlamentar- 7650
915860-Dep. Adolfo Viana-10- 2017- Locomoção de veículo terrestre- 8500
915860-Dep. Adolfo Viana-10- 2017- Locomoção, hospedagem- 10300
915860-Dep. Adolfo Viana-11- 2017- Assessorias- 6000
915860-Dep. Adolfo Viana-11- 2017- Consultorias- 6000
915860-Dep. Adolfo Viana-11- 2017- Divulgação da  atividade parlamentar- 7650
915860-Dep. Adolfo Viana-11- 2017- Locomoção de veículo terrestre- 10300
915860-Dep. Adolfo Viana-11- 2017- Locomoção, hospedagem- 1800
915860-Dep. Adolfo Viana-12- 2017- Assessorias- 6000
915860-Dep. Adolfo Viana-12- 2017- Divulgação da  atividade parlamentar- 7650
915860-Dep. Adolfo Viana-12- 2017- Locomoção de veículo terrestre- 10300
