
921271-Dep. Gika Lopes-08- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2714.43
921271-Dep. Gika Lopes-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22900
921271-Dep. Gika Lopes-08- 2016- Divulgação da  atividade parlamentar- 1220
921271-Dep. Gika Lopes-08- 2016- Locomoção, hospedagem- 10095.28
921271-Dep. Gika Lopes-09- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921271-Dep. Gika Lopes-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-09- 2016- Divulgação da  atividade parlamentar- 2820
921271-Dep. Gika Lopes-09- 2016- Locomoção, hospedagem- 10153.78
921271-Dep. Gika Lopes-10- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2611.77
921271-Dep. Gika Lopes-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-10- 2016- Divulgação da  atividade parlamentar- 3819.5
921271-Dep. Gika Lopes-10- 2016- Locomoção, hospedagem- 10102.74
921271-Dep. Gika Lopes-11- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3271.29
921271-Dep. Gika Lopes-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23100
921271-Dep. Gika Lopes-11- 2016- Divulgação da  atividade parlamentar- 3620
921271-Dep. Gika Lopes-11- 2016- Locomoção, hospedagem- 10118.34
921271-Dep. Gika Lopes-12- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921271-Dep. Gika Lopes-12- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-12- 2016- Divulgação da  atividade parlamentar- 8320
921271-Dep. Gika Lopes-12- 2016- Locomoção, hospedagem- 9692.870000000001
921271-Dep. Gika Lopes-01- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 4482.190000000001
921271-Dep. Gika Lopes-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-01- 2017- Divulgação da  atividade parlamentar- 700
921271-Dep. Gika Lopes-01- 2017- Locomoção, hospedagem- 10070.83
921271-Dep. Gika Lopes-02- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2656.02
