
915871-Dep. Tom Araújo-03- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 800.1700000000001
915871-Dep. Tom Araújo-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-03- 2013- Divulgação da  atividade parlamentar- 500
915871-Dep. Tom Araújo-03- 2013- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915871-Dep. Tom Araújo-04- 2013- Divulgação da  atividade parlamentar- 1500
915871-Dep. Tom Araújo-05- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1116.31
915871-Dep. Tom Araújo-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 40000
915871-Dep. Tom Araújo-05- 2013- Divulgação da  atividade parlamentar- 2800
915871-Dep. Tom Araújo-06- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-06- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 710.34
915871-Dep. Tom Araújo-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24780
915871-Dep. Tom Araújo-06- 2013- Divulgação da  atividade parlamentar- 22400
915871-Dep. Tom Araújo-07- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-07- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 219.07
915871-Dep. Tom Araújo-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20605.32
915871-Dep. Tom Araújo-07- 2013- Divulgação da  atividade parlamentar- 5800
915871-Dep. Tom Araújo-08- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-08- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 727.86
915871-Dep. Tom Araújo-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20005.32
915871-Dep. Tom Araújo-08- 2013- Divulgação da  atividade parlamentar- 5800
915871-Dep. Tom Araújo-09- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 908.71
915871-Dep. Tom Araújo-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-09- 2013- Divulgação da  atividade parlamentar- 1750
915871-Dep. Tom Araújo-10- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 776.34
915871-Dep. Tom Araújo-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 38000
915871-Dep. Tom Araújo-10- 2013- Divulgação da  atividade parlamentar- 1450
915871-Dep. Tom Araújo-11- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2400
915871-Dep. Tom Araújo-11- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-11- 2013- Divulgação da  atividade parlamentar- 29500
915871-Dep. Tom Araújo-12- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-12- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 756.51
915871-Dep. Tom Araújo-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34500
915871-Dep. Tom Araújo-12- 2013- Divulgação da  atividade parlamentar- 1000
915871-Dep. Tom Araújo-01- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 798.2
915871-Dep. Tom Araújo-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-01- 2014- Divulgação da  atividade parlamentar- 1100
915871-Dep. Tom Araújo-02- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2400
915871-Dep. Tom Araújo-02- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 789.04
915871-Dep. Tom Araújo-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-02- 2014- Divulgação da  atividade parlamentar- 1800
915871-Dep. Tom Araújo-03- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
