
915878-Dep. Luiza Maia-08- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3770.11
915878-Dep. Luiza Maia-08- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9336.4
915878-Dep. Luiza Maia-09- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7461.639999999999
915878-Dep. Luiza Maia-09- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9326.219999999999
915878-Dep. Luiza Maia-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14200
915878-Dep. Luiza Maia-10- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3799.65
915878-Dep. Luiza Maia-10- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2232.71
915878-Dep. Luiza Maia-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8500
915878-Dep. Luiza Maia-11- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8208.51
915878-Dep. Luiza Maia-11- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1689.77
915878-Dep. Luiza Maia-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22700
915878-Dep. Luiza Maia-11- 2014- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-12- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7769.57
915878-Dep. Luiza Maia-12- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 760.52
915878-Dep. Luiza Maia-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24100
915878-Dep. Luiza Maia-12- 2014- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-01- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8396.950000000001
915878-Dep. Luiza Maia-01- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 8950.08
915878-Dep. Luiza Maia-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-01- 2015- Divulgação da  atividade parlamentar- 7450
915878-Dep. Luiza Maia-02- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3800
915878-Dep. Luiza Maia-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-02- 2015- Locomoção, hospedagem- 9048.950000000001
915878-Dep. Luiza Maia-03- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4526.42
915878-Dep. Luiza Maia-03- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1720.94
915878-Dep. Luiza Maia-03- 2015- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-03- 2015- Locomoção, hospedagem- 9048.950000000001
915878-Dep. Luiza Maia-04- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4526.42
915878-Dep. Luiza Maia-04- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1414.07
915878-Dep. Luiza Maia-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14200
915878-Dep. Luiza Maia-04- 2015- Divulgação da  atividade parlamentar- 5450
915878-Dep. Luiza Maia-05- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 726.42
915878-Dep. Luiza Maia-05- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1753.96
915878-Dep. Luiza Maia-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4480
915878-Dep. Luiza Maia-05- 2015- Divulgação da  atividade parlamentar- 5450
915878-Dep. Luiza Maia-05- 2015- Locomoção, hospedagem- 9498.950000000001
915878-Dep. Luiza Maia-06- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8326.42
915878-Dep. Luiza Maia-06- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1053.6
915878-Dep. Luiza Maia-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27640
915878-Dep. Luiza Maia-06- 2015- Divulgação da  atividade parlamentar- 17300
915878-Dep. Luiza Maia-06- 2015- Locomoção, hospedagem- 18200
915878-Dep. Luiza Maia-07- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4526.42
915878-Dep. Luiza Maia-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1008.6
915878-Dep. Luiza Maia-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11580
915878-Dep. Luiza Maia-07- 2015- Divulgação da  atividade parlamentar- 5000
915878-Dep. Luiza Maia-08- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5252.84
915878-Dep. Luiza Maia-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1220.46
915878-Dep. Luiza Maia-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17085
915878-Dep. Luiza Maia-08- 2015- Divulgação da  atividade parlamentar- 6170
915878-Dep. Luiza Maia-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 20759.59
915878-Dep. Luiza Maia-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-10- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4526.42
915878-Dep. Luiza Maia-10- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 11252.64
915878-Dep. Luiza Maia-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-10- 2015- Divulgação da  atividade parlamentar- 19000
915878-Dep. Luiza Maia-11- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4526.42
915878-Dep. Luiza Maia-11- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 11086.99
915878-Dep. Luiza Maia-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-11- 2015- Divulgação da  atividade parlamentar- 5000
915878-Dep. Luiza Maia-11- 2015- Locomoção, hospedagem- 29400
915878-Dep. Luiza Maia-12- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7600
915878-Dep. Luiza Maia-12- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 10435
915878-Dep. Luiza Maia-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-12- 2015- Divulgação da  atividade parlamentar- 5000
915878-Dep. Luiza Maia-12- 2015- Locomoção, hospedagem- 19600
915878-Dep. Luiza Maia-01- 2016- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3800
915878-Dep. Luiza Maia-01- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 752.6099999999999
915878-Dep. Luiza Maia-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17085
915878-Dep. Luiza Maia-01- 2016- Divulgação da  atividade parlamentar- 5450
915878-Dep. Luiza Maia-01- 2016- Locomoção, hospedagem- 9800
915878-Dep. Luiza Maia-02- 2016- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1416.52
915878-Dep. Luiza Maia-02- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 624.4
915878-Dep. Luiza Maia-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7550
