
919329-Dep. Marquinho Viana-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-03- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1578.03
919329-Dep. Marquinho Viana-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19732.85
919329-Dep. Marquinho Viana-03- 2015- Divulgação da  atividade parlamentar- 600
919329-Dep. Marquinho Viana-03- 2015- Locomoção, hospedagem- 6546.59
919329-Dep. Marquinho Viana-04- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2288.11
919329-Dep. Marquinho Viana-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37500
919329-Dep. Marquinho Viana-04- 2015- Divulgação da  atividade parlamentar- 8240
919329-Dep. Marquinho Viana-05- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2902.56
919329-Dep. Marquinho Viana-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-06- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1940
919329-Dep. Marquinho Viana-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34500
919329-Dep. Marquinho Viana-06- 2015- Divulgação da  atividade parlamentar- 18660
919329-Dep. Marquinho Viana-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2490.19
919329-Dep. Marquinho Viana-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-07- 2015- Divulgação da  atividade parlamentar- 500
919329-Dep. Marquinho Viana-07- 2015- Locomoção, hospedagem- 191
919329-Dep. Marquinho Viana-08- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 140
919329-Dep. Marquinho Viana-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1839.42
919329-Dep. Marquinho Viana-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-08- 2015- Divulgação da  atividade parlamentar- 500
919329-Dep. Marquinho Viana-08- 2015- Locomoção, hospedagem- 101
919329-Dep. Marquinho Viana-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 737.39
919329-Dep. Marquinho Viana-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21740
919329-Dep. Marquinho Viana-09- 2015- Divulgação da  atividade parlamentar- 5900
919329-Dep. Marquinho Viana-09- 2015- Locomoção, hospedagem- 91.06
919329-Dep. Marquinho Viana-10- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4400
919329-Dep. Marquinho Viana-10- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 140
919329-Dep. Marquinho Viana-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-10- 2015- Divulgação da  atividade parlamentar- 500
919329-Dep. Marquinho Viana-10- 2015- Locomoção, hospedagem- 91.06
919329-Dep. Marquinho Viana-11- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2354.69
919329-Dep. Marquinho Viana-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 46400
919329-Dep. Marquinho Viana-11- 2015- Divulgação da  atividade parlamentar- 500
919329-Dep. Marquinho Viana-12- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1400
919329-Dep. Marquinho Viana-12- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1803.78
919329-Dep. Marquinho Viana-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 44000
919329-Dep. Marquinho Viana-12- 2015- Locomoção, hospedagem- 24000
919329-Dep. Marquinho Viana-01- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2090.69
919329-Dep. Marquinho Viana-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-02- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3253.1
919329-Dep. Marquinho Viana-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27000
919329-Dep. Marquinho Viana-03- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2291.87
919329-Dep. Marquinho Viana-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
919329-Dep. Marquinho Viana-04- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 837.51
919329-Dep. Marquinho Viana-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26600
919329-Dep. Marquinho Viana-05- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1813.3
919329-Dep. Marquinho Viana-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
919329-Dep. Marquinho Viana-06- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2110.78
919329-Dep. Marquinho Viana-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 53600
919329-Dep. Marquinho Viana-06- 2016- Divulgação da  atividade parlamentar- 30000
919329-Dep. Marquinho Viana-07- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2635.96
919329-Dep. Marquinho Viana-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-08- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1796.28
